2 1 530101 38.50 66 28 3 3 0 2 5 4 4 0 0 0 3 5 45.00 8.40 0 0 2 
1 1 534817 39.2 88 20 0 0 4 1 3 4 2 0 0 0 4 2 50 85 2 2 3 
2 1 530334 38.30 40 24 1 1 3 1 3 3 1 0 0 0 1 1 33.00 6.70 0 0 1 
1 9 5290409 39.10 164 84 4 1 6 2 2 4 4 1 2 5.00 3 5.0 48.00 7.20 3 5.30 2 
2 1 530255 37.30 104 35 7.0 4.0 6 2 7.0 8.0 8.0 1.0 2.0 5.0 6.0 5.0 74.00 7.40 3.0 5.3 2 
2 1 528355 38.3 40.0 24.0 2 1 3 1 2 3 2 2 1 0 3 3 33.0 6.7 0 0 1 
1 1 526802 37.90 48 16 1 1 1 1 3 3 3 1 1 0 3 5 37.00 7.00 0 0 1 
1 1 529607 114.89999999999999 60 147.0 3 4.0 12.0 1 7.0 4 2 2 1 5.0 3 4 44.00 8.30 3.0 5.3 2 
2 1 530051 39.2 80 36 3 4 3 1 4 4 4 2 1 0 3 5 38.00 6.20 2.0 2.0 3 
2 9 5299629 38.30 90 40.0 1 3.0 1 1 5 3 1 2 1 0 3 9.0 40.00 6.20 1 2.20 1 
1 1 528548 38.10 66 12 3 3 5 1 3 3 1 2 1 3.00 2 5 44.00 6.00 2 3.60 1 
2 1 527927 39.10 72 52 2 6.0 2 1 2 1 2 1 1 3.0 4 4 50.00 7.80 3.0 5.800000000000001 1 
1 1 528031 37.20 42 12 2 1 1 1 3 3 3 3 1 3.0 4 5 204.0 7.00 3.0 5.800000000000001 1 
2 9 5291329 38.00 92 28 1 1 2 1 1 3 2 3 3.0 7.20 1 1 37.00 6.10 1 5.3 2 
1 1 534917 38.2 76 28 3 1 1 1 3 4 1 2 2 3.0 4 4 46 81 1 2 1 
1 1 530233 37.60 96 48 3 1 4 1 5 3 3 2 3 4.50 4 10.0 45.00 6.80 4.0 5.3 2 
1 9 5301219 190.49999999999997 128 36 3 3 4 2 4 4 3 3 6.0 16.7 4 5 53.00 7.80 3 4.70 2 
2 1 526639 37.50 48 24 15.0 8.0 17.0 8.0 24.0 23.0 14.0 13.0 8.0 3.0 24.0 27.0 250.0 121.69999999999999 4.0 7.800000000000001 1 
1 1 5290481 37.60 64 21 1 1 2 1 2 3 1 1 1 3.0 2 5 40.00 7.00 1 7.800000000000001 1 
2 1 532110 39.4 110 35 4 3 6 9.0 26.0 3 3 14.0 9.0 3.0 26.0 32.0 55 8.7 5.0 7.800000000000001 1 
1 1 530157 39.90 72 60 1 1 5 2 5 4 4 3 1 3.0 4 4 46.00 6.10 2 7.800000000000001 1 
2 1 529340 38.40 48 16 1 13.0 1 1 1 3 1 2 3 5.50 4 3 49.00 6.80 7.0 7.800000000000001 1 
1 1 521681 38.60 42 34 2 1 4 12.0 2 3 1 19.0 13.0 8.5 1 39.0 48.00 7.20 7.0 7.800000000000001 1 
